Episode,Steps,Total Reward,Discounted Reward,Expected Q
246,822,-10713.706254848556,-3920.031745259857,-74.16976928710938
245,616,-7747.141869925446,-3486.6435401500935,-79.74720764160156
230,511,-6618.789818474538,-3404.641159145573,-83.43453216552734
261,747,-9626.804773684236,-3728.7365695997023,-86.80403137207031
229,716,-9469.665080822655,-3800.2946293837354,-89.09788513183594
260,587,-7413.055487525667,-3400.4768866785153,-81.52774810791016
240,738,-9785.348827578697,-3905.8279845136003,-80.19563293457031
228,677,-8846.127108207413,-3795.4276787592266,-118.86830139160156
256,517,-6542.250026845688,-3325.675332645453,-84.92552947998047
258,537,-6579.903945698052,-3254.508762037876,-96.23851013183594
238,884,-11970.555482604113,-4192.455568886542,-99.03770446777344
234,981,-12976.196206015962,-4108.736456339594,-73.17375946044922
236,471,-5928.241534280433,-3171.755376522592,-91.62012481689453
251,503,-6455.235739016608,-3240.1672825966234,-101.15877532958984
233,760,-10140.232711429519,-3922.5875287872204,-111.57891845703125
263,754,-9816.776378577862,-3882.8562052145608,-82.73719024658203
235,681,-8899.840584312851,-3758.1976705504967,-90.28520202636719
262,713,-9227.450412529312,-3854.783680750463,-85.2069091796875
265,714,-9268.66128076092,-3716.564413745684,-110.66764831542969
231,727,-9397.049091685474,-3719.4128387952182,-70.00868225097656
280,595,-7517.01503724075,-3533.0511070494786,-93.57854461669922
249,624,-8056.40228905235,-3565.6962941748557,-46.72695541381836
259,604,-7783.435786642418,-3607.6612347257656,-91.05753326416016
248,661,-8367.39654774066,-3565.280922865176,-89.1880111694336
247,607,-7610.707088290265,-3562.563057674013,-128.76123046875
257,584,-7463.599770648128,-3504.6010574558277,-129.92611694335938
277,610,-7959.972278707011,-3605.0854566360017,-87.05561065673828
255,470,-6000.600407903667,-3253.488432246255,-91.8349838256836
279,766,-10268.94183459431,-3976.759856796482,-100.05176544189453
253,647,-8504.253464153224,-3761.261668692285,-78.21099090576172
264,915,-12086.133903728643,-4116.281165069002,-88.41337585449219
275,753,-10151.534623652353,-4065.976776507619,-83.4498519897461
252,552,-6979.628216523811,-3409.10961483329,-79.16122436523438
270,625,-8338.421503086869,-3810.9433790011626,-98.76476287841797
282,584,-7446.790517287481,-3525.891127644129,-80.3446044921875
254,566,-7125.397301491584,-3408.3365194974444,-83.92835235595703
281,561,-7287.776238769016,-3568.2299254401637,-84.87934112548828
299,550,-6903.816970238909,-3296.9889763614024,-106.42205810546875
284,672,-8778.436923769656,-3730.0763068545807,-121.12886810302734
266,540,-6905.101040909681,-3436.9702563568394,-99.76312255859375
268,628,-8247.406101667713,-3675.295110402366,-105.65607452392578
250,703,-8985.682112778184,-3662.3010496589172,-84.69012451171875
278,645,-8479.805607232776,-3787.9851556608846,-93.98307037353516
272,490,-6105.455883465196,-3178.496673335586,-98.46916961669922
267,627,-8285.843086779856,-3706.7577215989195,-91.95340728759766
274,654,-8609.631182574216,-3787.7625123782987,-105.9301528930664
298,636,-8357.334408400526,-3688.3147192428883,-91.06287384033203
271,506,-6508.656172619211,-3370.7091152292815,-92.00926971435547
296,732,-9462.768223540173,-3841.6060435995832,-92.16897583007812
294,652,-8494.515523202299,-3739.0104981316877,-96.91846466064453
289,583,-7543.8860429911365,-3544.7943017632315,-109.51692962646484
301,555,-6988.886686977937,-3294.9680706353574,-91.7149887084961
276,873,-11739.88851072505,-4017.1996186000547,-93.58765411376953
318,503,-6155.4352517039315,-3179.342300813909,-78.85554504394531
273,684,-9070.064638381926,-3825.021453514665,-99.64717864990234
297,487,-6180.103764339281,-3207.5339168749792,-163.20445251464844
286,485,-6171.149905324286,-3269.148920443607,-87.07599639892578
283,972,-13286.148105552676,-4302.538093070157,-99.38468933105469
