Episode,Steps,Total Reward,Discounted Reward,Expected Q
129,2001,-71185.57206465515,-11784.805888638997,-389.47796630859375
130,2001,-70513.88034764389,-11676.112055872169,-378.54949951171875
131,2001,-70834.76083651396,-11612.238735630268,-382.7480773925781
132,2001,-72002.38131204547,-11959.091532022789,-381.7742919921875
140,2001,-69660.7472339109,-11366.506997456301,-428.78289794921875
133,2001,-70347.00545588405,-11760.834915202717,-428.58514404296875
134,2001,-69412.23085995606,-11424.318134666191,-437.7751770019531
135,2001,-70534.52077009232,-11821.322834408142,-437.46405029296875
136,2001,-70384.40897938414,-11095.644732645507,-423.7904052734375
137,2001,-71304.2741801116,-11911.893382600638,-431.3434753417969
138,2001,-72355.40672094835,-11727.970368292259,-438.6139831542969
139,2001,-70112.4592907805,-11552.939828028675,-422.64453125
141,2001,-72424.69398822135,-12015.036193572912,-437.0799560546875
142,2001,-69999.82914548839,-11930.959967085513,-435.1024475097656
143,2001,-69990.65775303273,-11257.220528887146,-429.7411193847656
144,2001,-68822.56486737779,-11600.903076344592,-433.82159423828125
145,2001,-70761.00613329555,-11761.384719323005,-431.7347106933594
146,2001,-70596.16128525956,-11486.447057252453,-430.3108825683594
147,2001,-73895.92078380086,-12083.658274462428,-428.21337890625
148,2001,-71261.9885986322,-11447.107250868636,-445.3202819824219
149,2001,-70294.83579217427,-11250.694690763012,-428.44036865234375
150,2001,-70884.88501263878,-11437.65083360126,-438.9273376464844
151,2001,-70196.78363570564,-11698.462262704204,-435.79412841796875
159,2001,-71144.54030469092,-11879.42826311879,-482.518798828125
152,2001,-70821.49794987857,-11912.481074766343,-481.23748779296875
153,2001,-71791.51928915827,-11688.208919852881,-483.75921630859375
154,2001,-68338.24363010695,-11204.670154506242,-481.1624755859375
155,2001,-70131.77185014037,-11922.375943994051,-480.5058288574219
156,2001,-70276.9037145854,-11792.501741787508,-482.83355712890625
157,2001,-71159.47474054522,-11624.262555695717,-481.4266052246094
158,2001,-69218.57685971001,-11636.518142827728,-483.5975036621094
160,2001,-67872.44618850434,-11277.38210596188,-493.82818603515625
161,2001,-69301.65000617733,-11420.975372348921,-480.4806823730469
162,2001,-70269.28878313358,-11688.791067982625,-478.47369384765625
163,2001,-70490.809865215,-11557.716685059908,-483.528564453125
164,2001,-72370.72078163989,-11899.852630380536,-480.1129455566406
165,2001,-68543.6896165624,-11220.182771887818,-478.1778564453125
166,2001,-72146.20632291563,-11541.608492039977,-485.2838134765625
167,2001,-70768.09487500842,-11825.101809179909,-479.5896911621094
168,2001,-67715.07804255432,-11401.467098556735,-478.7337646484375
169,2001,-70875.11681744129,-11600.169775994373,-477.8946228027344
170,2001,-70136.42407345919,-11726.86703875387,-482.6745300292969
178,2001,-68743.04753570851,-10876.921092758059,-517.7190551757812
171,2001,-69589.74959865362,-11623.28564458572,-524.6947631835938
172,2001,-70886.64379622243,-11377.77863439601,-528.1411743164062
173,2001,-70022.77331287826,-11692.341175850557,-518.90283203125
174,2001,-68683.93997012445,-11262.518399441295,-526.3824462890625
175,2001,-70910.44607854579,-11847.536942455796,-523.681884765625
176,2001,-69121.69442207598,-11429.730920133174,-524.218994140625
177,2001,-68601.71052045989,-11690.960416479878,-522.4030151367188
179,2001,-69928.96351332727,-11506.617030328482,-526.5648803710938
180,2001,-68207.55897479595,-11827.904926175028,-527.198974609375
181,2001,-68311.70652093581,-11141.209821833385,-522.4466552734375
182,2001,-68776.99472634385,-11272.425318150863,-523.0524291992188
183,2001,-69890.44891995941,-11353.669987080351,-523.2415771484375
184,2001,-70570.41286666911,-11541.367538106504,-525.04833984375
185,2001,-69754.55334410738,-11480.930488246348,-520.019775390625
